10th_percentage,12th_percentage,college_percentage,english_1,english_2,english_3,english_4,quantitative_ability_1,quantitative_ability_2,quantitative_ability_3,quantitative_ability_4,domain_skills_2,domain_test_3,domain_test_4,analytical_skills_1,analytical_skills_2,analytical_skills_3,specialization_in_study_C,specialization_in_study_D,specialization_in_study_E,specialization_in_study_G,specialization_in_study_I,specialization_in_study_J,specialization_in_study_L,performance,cluster_kmeans,cluster_agglomerative,cluster_dbscan
4.505349850705881,4.554928969551344,4.324265097815334,3.8347751307063667,4.341154877769002,4.090802944556136,4.235528095240935,3.775583406804377,4.137988917438128,4.228259959319758,4.023802183684769,4.392671218387576,4.01607231700591,4.352112842423541,4.017201686373226,4.163421818334223,3.9650733759425885,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,MP,1,0,0
4.43473767358655,4.2626798770413155,4.158257887965753,3.554269312733238,4.272499631006497,3.9611017282491257,4.217611285228148,3.8824084639282805,4.078957322440411,4.195141608448784,4.261865412099729,4.0821603231848975,3.730253020628319,4.120401148337502,4.110873864173311,4.275082587410411,4.048681686891539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,0,0,0
4.411585436915426,4.219507705176107,4.294287720365875,3.9858344376613783,4.307416331571524,4.149846160979519,4.253129535308247,3.4179953924689404,4.037573533712136,4.228259959319758,4.194460133301364,4.299485304444125,4.217985248652651,4.143829653452161,4.371746704054132,4.437275702258614,4.231437612270768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,1,0
4.399375273008495,4.388257184424518,4.214051671586849,4.408328628000175,4.40539788373594,4.487273507510971,4.398983281687591,3.9123508205433595,4.2116395657474115,4.211837880764524,4.044267443113671,4.392671218387576,4.176507037515036,4.04663046122474,4.4804311954929545,4.452137024963944,3.9430314873214005,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,BP,1,1,0
4.461299815568389,4.572646994282532,4.468662941333428,4.311938149744564,4.324427884109763,4.371746704054132,4.48559874226697,4.121566294297025,4.328761653066877,4.306553313149572,3.9815706363024477,4.410309915394982,4.176507037515036,4.273925139684633,4.4166476244615875,4.275082587410411,4.494302836922403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,1,0
4.537961436294641,4.51085950651685,4.423648309364701,3.7931544751752395,4.198781084250281,4.187356418789951,4.217611285228148,3.6126886081046585,4.2116395657474115,3.784570465404933,4.103264201275367,4.0323926210580305,4.088002655696816,4.313782961091646,4.049410589742843,4.163421818334223,4.007751070737925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,0,0,0
4.514369821661595,4.58700621536042,4.477336814478207,3.7931544751752395,4.373792187537784,4.187356418789951,4.040033048447265,4.476031939654227,4.419273383337109,4.420320295986943,4.556186361449204,4.356432086685059,4.314725680840401,4.294052617985675,4.4804311954929545,4.437275702258614,4.468283416683491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,1,0
4.501696777511816,4.541164856012179,4.302712827954156,3.3776519095965645,4.11919251461861,4.16877715700487,4.040033048447265,3.4179953924689404,3.9944029152293012,3.969448298612286,3.9815706363024477,4.129568181228193,4.2578113182524255,4.2324124861932075,4.110873864173311,4.123247707348816,4.125835804025951,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,LP,0,0,0
4.276666119016055,4.356708826689592,4.289088639014612,3.0798306067169383,4.0327175804612745,4.130549855552453,3.850408630163642,3.4179953924689404,3.9259377212255218,4.143312062799161,4.002909331377755,4.174829894667719,4.350945121972843,4.143829653452161,4.500819261531618,4.359463872593958,4.311647334558471,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,BP,0,0,0
4.48863636973214,4.465908118654584,4.375127892982725,3.950154591590486,4.324427884109763,4.223510378965765,4.217611285228148,3.775583406804377,4.11869633488221,4.107203798580328,4.083982778718484,4.410309915394982,4.2961118349070055,4.406986258079778,4.080614369410199,4.359463872593958,3.8496583649096943,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,BP,1,0,0
